bloc,groupe,symbole,nom,Z,utilisation,usage_epistemique,multisecteurs,secteurs
F,3,No,Nobélium,102,Produire → isotopes (études),Contrainte → états stables relatifs (chimie actinides),NUC → nucléaire Sonde → signatures radiatives CHI → chimie/procédés RES → recherche fondamentale,CHI;NUC;RES
F,3,Lr,Lawrencium,103,Produire → isotopes (études),Contrainte → effets relativistes (chimie actinides),NUC → nucléaire Contrainte → instabilité (structure nucléaire) RES → recherche fondamentale,NUC;RES
D,4,Rf,Rutherfordium,104,Produire → recherche → production d’observables/mesures (usage,Observable → Structure superlourde,RES → recherche fondamentale principal),RES
D,5,Db,Dubnium,105,Produire → recherche → production d’observables/mesures,Contrainte → effets relativistes → chimie,RES → recherche fondamentale,RES
D,6,Sg,Seaborgium,106,Produire → recherche → production d’observables/mesures,Contrainte → instabilité → superlourds,RES → recherche fondamentale,RES
D,7,Bh,Bohrium,107,Produire → recherche → production d’observables/mesures,Contrainte → niveaux/instabilités → structure nucléaire,RES → recherche fondamentale,RES
D,8,Hs,Hassium,108,Produire → recherche → production d’observables/mesures,Contrainte → effets relativistes → chimie,RES → recherche fondamentale,RES
D,9,Mt,Meitnérium,109,Produire → recherche → production d’observables/mesures,Observable → Structure superlourde,RES → recherche fondamentale,RES
D,10,Ds,Darmstadtium,110,Produire → recherche → production d’observables/mesures,Contrainte → effets relativistes → chimie,RES → recherche fondamentale,RES
D,11,Rg,Roentgenium,111,Produire → recherche → production d’observables/mesures,Contrainte → effets relativistes → chimie,RES → recherche fondamentale,RES
D,12,Cn,Copernicium,112,Produire → recherche → production d’observables/mesures,Contrainte → effets relativistes → chimie,RES → recherche fondamentale,RES
P,13,Nh,Nihonium,113,"Produire → observables (accélérateurs, recherche)",Contrainte → désintégrations alpha (instabilité),RES → recherche fondamentale,RES
P,14,Fl,Flérovium,114,Produire → observables (recherche),Contrainte → désintégrations (instabilité),RES → recherche fondamentale Contrainte → effets relativistes (propriétés),RES
P,15,Mc,Moscovium,115,Produire → observables (recherche),Contrainte → désintégrations (instabilité),RES → recherche fondamentale,RES
P,16,Lv,Livermorium,116,Produire → observables (recherche),Contrainte → désintégrations (instabilité),RES → recherche fondamentale Contrainte → effets relativistes (propriétés),RES
P,17,Ts,Tennessine,117,Produire → observables (recherche),Contrainte → instabilité (désintégrations),RES → recherche fondamentale,RES
P,18,Og,Oganesson,118,Produire → observables (recherche),Contrainte → instabilité (désintégrations),RES → recherche fondamentale,RES
